	NT2000-80-8		
Frequency (Hz)	Magnitude (dB)	Phase (degrees)	Coherence
969.726563	-10.22	-11.01	0.98
971.191406	-10.19	-11.11	0.99
972.656250	-10.17	-11.20	0.99
974.121094	-10.14	-11.30	0.99
975.585938	-10.12	-11.38	0.99
977.050781	-10.09	-11.47	0.99
978.515625	-10.06	-11.55	0.97
979.980469	-10.03	-11.63	0.99
981.445313	-9.99	-11.72	0.99
982.910156	-9.96	-11.84	0.99
984.375000	-9.92	-11.97	1.00
985.839844	-9.89	-12.13	0.99
987.304688	-9.85	-12.31	0.97
988.769531	-9.82	-12.53	0.99
990.234375	-9.79	-12.77	0.99
991.699219	-9.77	-13.03	1.00
993.164063	-9.74	-13.29	0.99
994.628906	-9.72	-13.55	1.00
996.093750	-9.70	-13.81	1.00
997.558594	-9.69	-14.08	1.00
999.023438	-9.67	-14.34	0.99
1000.488281	-9.66	-14.59	0.99
1001.953125	-9.64	-14.84	0.98
1003.417969	-9.63	-15.08	0.99
1004.882813	-9.62	-15.32	0.99
1006.347656	-9.61	-15.55	0.99
1007.812500	-9.59	-15.78	1.00
1009.277344	-9.58	-16.02	1.00
1010.742188	-9.57	-16.26	0.99
1012.207031	-9.55	-16.49	0.99
1013.671875	-9.54	-16.72	0.97
1015.136719	-9.52	-16.96	0.97
1016.601563	-9.51	-17.21	0.99
1018.066406	-9.50	-17.47	0.97
1019.531250	-9.48	-17.74	0.98
1020.996094	-9.47	-18.01	0.99
1022.460938	-9.46	-18.30	1.00
1023.925781	-9.44	-18.59	0.99
1025.390625	-9.43	-18.89	0.99
1026.855469	-9.42	-19.21	0.99
1028.320313	-9.41	-19.55	1.00
1029.785156	-9.40	-19.89	1.00
1031.250000	-9.39	-20.25	0.99
1032.714844	-9.39	-20.60	0.98
1034.179688	-9.38	-20.95	0.96
1035.644531	-9.38	-21.30	0.99
1037.109375	-9.38	-21.68	0.99
1038.574219	-9.38	-22.07	0.99
1040.039063	-9.39	-22.47	0.99
1041.503906	-9.39	-22.87	0.99
1042.968750	-9.40	-23.28	0.99
1044.433594	-9.41	-23.70	0.97
1045.898438	-9.43	-24.13	0.99
1047.363281	-9.44	-24.54	1.00
1048.828125	-9.47	-24.93	1.00
1050.292969	-9.49	-25.30	0.99
1051.757813	-9.52	-25.63	0.99
1053.222656	-9.54	-25.95	0.99
1054.687500	-9.57	-26.24	1.00
1056.152344	-9.60	-26.51	0.99
1057.617188	-9.63	-26.77	0.99
1059.082031	-9.65	-27.02	0.99
1060.546875	-9.68	-27.27	1.00
1062.011719	-9.71	-27.51	1.00
1063.476563	-9.74	-27.74	0.99
1064.941406	-9.77	-27.96	0.99
1066.406250	-9.80	-28.16	0.99
1067.871094	-9.83	-28.35	0.99
1069.335938	-9.86	-28.53	0.97
1070.800781	-9.89	-28.70	0.94
