	NT2000-50-C		
Frequency (Hz)	Magnitude (dB)	Phase (degrees)	Coherence
887.695313	-1.44	34.61	1.00
889.160156	-1.45	34.62	1.00
890.625000	-1.45	34.63	1.00
892.089844	-1.45	34.64	1.00
893.554688	-1.46	34.66	1.00
895.019531	-1.47	34.69	1.00
896.484375	-1.47	34.73	1.00
897.949219	-1.47	34.77	1.00
899.414063	-1.47	34.81	1.00
900.878906	-1.47	34.85	1.00
902.343750	-1.47	34.88	0.99
903.808594	-1.47	34.90	0.99
905.273438	-1.48	34.91	1.00
906.738281	-1.48	34.93	0.99
908.203125	-1.48	34.95	1.00
909.667969	-1.49	34.97	1.00
911.132813	-1.49	35.00	1.00
912.597656	-1.50	35.03	1.00
914.062500	-1.50	35.07	1.00
915.527344	-1.51	35.12	1.00
916.992188	-1.51	35.17	1.00
918.457031	-1.52	35.23	1.00
919.921875	-1.52	35.29	1.00
921.386719	-1.53	35.35	1.00
922.851563	-1.53	35.42	1.00
924.316406	-1.53	35.48	1.00
925.781250	-1.54	35.54	1.00
927.246094	-1.54	35.61	1.00
928.710938	-1.54	35.68	1.00
930.175781	-1.54	35.75	1.00
931.640625	-1.54	35.82	1.00
933.105469	-1.54	35.88	1.00
934.570313	-1.53	35.93	0.99
936.035156	-1.53	35.96	1.00
937.500000	-1.54	36.00	0.99
938.964844	-1.54	36.04	1.00
940.429688	-1.54	36.09	1.00
941.894531	-1.55	36.16	1.00
943.359375	-1.55	36.23	1.00
944.824219	-1.55	36.30	1.00
946.289063	-1.55	36.39	1.00
947.753906	-1.56	36.47	1.00
949.218750	-1.56	36.56	1.00
950.683594	-1.55	36.65	1.00
952.148438	-1.55	36.75	1.00
953.613281	-1.55	36.85	0.99
955.078125	-1.54	36.94	0.99
956.542969	-1.53	37.03	0.98
958.007813	-1.52	37.10	0.98
959.472656	-1.51	37.17	0.99
960.937500	-1.50	37.24	1.00
962.402344	-1.49	37.31	1.00
963.867188	-1.48	37.39	1.00
965.332031	-1.47	37.47	1.00
966.796875	-1.46	37.55	1.00
968.261719	-1.44	37.63	1.00
969.726563	-1.43	37.70	1.00
971.191406	-1.41	37.77	1.00
972.656250	-1.38	37.83	1.00
974.121094	-1.36	37.87	0.99
975.585938	-1.33	37.89	0.99
977.050781	-1.30	37.90	1.00
978.515625	-1.28	37.87	0.99
979.980469	-1.25	37.80	0.98
981.445313	-1.23	37.71	0.98
982.910156	-1.21	37.61	0.99
984.375000	-1.19	37.51	0.99
985.839844	-1.18	37.41	0.99
987.304688	-1.17	37.29	0.99
988.769531	-1.15	37.16	0.99
990.234375	-1.15	37.02	0.96
991.699219	-1.14	36.86	0.97
993.164063	-1.13	36.69	1.00
994.628906	-1.13	36.50	0.96
996.093750	-1.13	36.32	0.99
997.558594	-1.13	36.16	1.00
999.023438	-1.14	36.01	1.00
1000.488281	-1.14	35.89	1.00
1001.953125	-1.15	35.78	1.00
1003.417969	-1.16	35.68	1.00
1004.882813	-1.17	35.59	1.00
1006.347656	-1.18	35.50	1.00
1007.812500	-1.19	35.43	1.00
1009.277344	-1.20	35.36	1.00
1010.742188	-1.22	35.32	1.00
1012.207031	-1.23	35.29	1.00
1013.671875	-1.25	35.27	1.00
1015.136719	-1.26	35.26	1.00
1016.601563	-1.27	35.26	1.00
1018.066406	-1.28	35.27	1.00
1019.531250	-1.29	35.28	0.99
1020.996094	-1.30	35.29	0.99
1022.460938	-1.31	35.30	0.99
1023.925781	-1.31	35.29	0.99
1025.390625	-1.32	35.28	0.99
1026.855469	-1.32	35.26	1.00
1028.320313	-1.33	35.25	1.00
1029.785156	-1.34	35.22	1.00
1031.250000	-1.35	35.19	0.99
1032.714844	-1.36	35.17	0.99
1034.179688	-1.38	35.15	1.00
1035.644531	-1.39	35.15	1.00
1037.109375	-1.41	35.16	1.00
1038.574219	-1.42	35.17	1.00
1040.039063	-1.44	35.20	1.00
1041.503906	-1.45	35.23	1.00
1042.968750	-1.47	35.27	1.00
1044.433594	-1.48	35.32	1.00
1045.898438	-1.49	35.36	1.00
1047.363281	-1.50	35.41	1.00
1048.828125	-1.51	35.45	1.00
1050.292969	-1.52	35.48	0.99
1051.757813	-1.53	35.50	0.99
1053.222656	-1.54	35.51	0.99
1054.687500	-1.55	35.52	0.99
1056.152344	-1.56	35.55	1.00
1057.617188	-1.57	35.59	1.00
1059.082031	-1.59	35.65	1.00
1060.546875	-1.60	35.71	1.00
1062.011719	-1.62	35.78	1.00
1063.476563	-1.63	35.87	1.00
1064.941406	-1.65	35.97	1.00
1066.406250	-1.66	36.08	1.00
1067.871094	-1.67	36.20	1.00
1069.335938	-1.68	36.32	1.00
1070.800781	-1.69	36.44	1.00
1072.265625	-1.70	36.57	1.00
1073.730469	-1.71	36.70	1.00
1075.195313	-1.72	36.83	1.00
1076.660156	-1.72	36.96	1.00
1078.125000	-1.72	37.09	1.00
1079.589844	-1.72	37.21	0.99
1081.054688	-1.72	37.33	0.99
1082.519531	-1.72	37.43	1.00
1083.984375	-1.71	37.52	1.00
1085.449219	-1.71	37.60	1.00
1086.914063	-1.71	37.68	1.00
1088.378906	-1.71	37.75	1.00
1089.843750	-1.71	37.83	1.00
1091.308594	-1.71	37.90	1.00
1092.773438	-1.72	37.98	1.00
1094.238281	-1.72	38.06	0.99
1095.703125	-1.72	38.14	1.00
1097.167969	-1.72	38.21	1.00
1098.632813	-1.72	38.28	1.00
1100.097656	-1.73	38.36	1.00
1101.562500	-1.73	38.44	1.00
1103.027344	-1.73	38.52	1.00
1104.492188	-1.74	38.62	1.00
1105.957031	-1.74	38.71	1.00
1107.421875	-1.74	38.81	1.00
1108.886719	-1.74	38.90	1.00
1110.351563	-1.74	38.99	1.00
